Country,Year,Month,Date,Brand,Model,Storage Variant,Price Segment,Generation,Colour,Currency,Price,Monthly Cost (24 Months)
FR,2023,Dec,12/1/2023,Apple,i15,128 GB,Mid Segment,N,Blue,€,969,
FR,2023,Dec,12/1/2023,Apple,i15,128 GB,Mid Segment,N,Pink,€,969,
FR,2023,Dec,12/1/2023,Apple,i15,128 GB,Mid Segment,N,Yellow,€,969,
FR,2023,Dec,12/1/2023,Apple,i15,128 GB,Mid Segment,N,Green,€,969,
FR,2023,Dec,12/1/2023,Apple,i15,128 GB,Mid Segment,N,Black,€,969,
FR,2023,Dec,12/1/2023,Apple,i15,256 GB,Mid Segment,N,Blue,€,1099,
FR,2023,Dec,12/1/2023,Apple,i15,256 GB,Mid Segment,N,Pink,€,1099,
FR,2023,Dec,12/1/2023,Apple,i15,256 GB,Mid Segment,N,Yellow,€,1099,
FR,2023,Dec,12/1/2023,Apple,i15,256 GB,Mid Segment,N,Green,€,1099,
FR,2023,Dec,12/1/2023,Apple,i15,256 GB,Mid Segment,N,Black,€,1099,
FR,2023,Dec,12/1/2023,Apple,i15,512 GB,Mid Segment,N,Blue,€,1349,
FR,2023,Dec,12/1/2023,Apple,i15,512 GB,Mid Segment,N,Pink,€,1349,
FR,2023,Dec,12/1/2023,Apple,i15,512 GB,Mid Segment,N,Yellow,€,1349,
FR,2023,Dec,12/1/2023,Apple,i15,512 GB,Mid Segment,N,Green,€,1349,
FR,2023,Dec,12/1/2023,Apple,i15,512 GB,Mid Segment,N,Black,€,1349,
FR,2023,Dec,12/1/2023,Apple,i15 Plus,128 GB,Mid Segment,N,Blue,€,1119,
FR,2023,Dec,12/1/2023,Apple,i15 Plus,128 GB,Mid Segment,N,Pink,€,1119,
FR,2023,Dec,12/1/2023,Apple,i15 Plus,128 GB,Mid Segment,N,Yellow,€,1119,
FR,2023,Dec,12/1/2023,Apple,i15 Plus,128 GB,Mid Segment,N,Green,€,1119,
FR,2023,Dec,12/1/2023,Apple,i15 Plus,128 GB,Mid Segment,N,Black,€,1119,
FR,2023,Dec,12/1/2023,Apple,i15 Plus,256 GB,Mid Segment,N,Blue,€,1249,
FR,2023,Dec,12/1/2023,Apple,i15 Plus,256 GB,Mid Segment,N,Pink,€,1249,
FR,2023,Dec,12/1/2023,Apple,i15 Plus,256 GB,Mid Segment,N,Yellow,€,1249,
FR,2023,Dec,12/1/2023,Apple,i15 Plus,256 GB,Mid Segment,N,Green,€,1249,
FR,2023,Dec,12/1/2023,Apple,i15 Plus,256 GB,Mid Segment,N,Black,€,1249,
FR,2023,Dec,12/1/2023,Apple,i15 Plus,512 GB,Mid Segment,N,Blue,€,1499,
FR,2023,Dec,12/1/2023,Apple,i15 Plus,512 GB,Mid Segment,N,Pink,€,1499,
FR,2023,Dec,12/1/2023,Apple,i15 Plus,512 GB,Mid Segment,N,Yellow,€,1499,
FR,2023,Dec,12/1/2023,Apple,i15 Plus,512 GB,Mid Segment,N,Green,€,1499,
FR,2023,Dec,12/1/2023,Apple,i15 Plus,512 GB,Mid Segment,N,Black,€,1499,
FR,2023,Dec,12/1/2023,Apple,i15 Pro,128 GB,Premium Segment,N,Natural Titanium,€,1229,
FR,2023,Dec,12/1/2023,Apple,i15 Pro,128 GB,Premium Segment,N,Blue Titanium,€,1229,
FR,2023,Dec,12/1/2023,Apple,i15 Pro,128 GB,Premium Segment,N,White Titanium,€,1229,
FR,2023,Dec,12/1/2023,Apple,i15 Pro,128 GB,Premium Segment,N,Black Titanium,€,1229,
FR,2023,Dec,12/1/2023,Apple,i15 Pro,256 GB,Premium Segment,N,Natural Titanium,€,1359,
FR,2023,Dec,12/1/2023,Apple,i15 Pro,256 GB,Premium Segment,N,Blue Titanium,€,1359,
FR,2023,Dec,12/1/2023,Apple,i15 Pro,256 GB,Premium Segment,N,White Titanium,€,1359,
FR,2023,Dec,12/1/2023,Apple,i15 Pro,256 GB,Premium Segment,N,Black Titanium,€,1359,
FR,2023,Dec,12/1/2023,Apple,i15 Pro,512 GB,Premium Segment,N,Natural Titanium,€,1609,
FR,2023,Dec,12/1/2023,Apple,i15 Pro,512 GB,Premium Segment,N,Blue Titanium,€,1609,
FR,2023,Dec,12/1/2023,Apple,i15 Pro,512 GB,Premium Segment,N,White Titanium,€,1609,
